[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[ProcessExecutor]2021-04-14 09:35:26.121 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 09:35:27.771 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 09:35:27.773 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 09:35:27.773 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 09:35:27.775 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 09:35:27.776 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 09:35:27.778 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 09:35:27.807 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 09:35:27.810 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 09:35:27.811 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 09:35:27.813 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 09:35:28.448 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 09:35:28.450 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 09:35:28.553 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[ProcessExecutor]2021-04-14 17:05:07.502 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 17:05:08.973 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 17:05:08.976 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 17:05:08.976 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 17:05:08.978 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 17:05:09.094 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 17:05:09.097 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 17:05:09.097 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
